mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,40,800,3.81211,client1,36
5,40,800,0.981867,client2,36
5,40,800,1.81701,client3,36
5,40,800,2.88176,client4,36
5,40,800,2.37291,client5,36
5,40,800,1.58629,client6,36
5,40,800,1.92939,client7,36
5,40,800,0.577173,client8,36
5,40,800,3.17557,client9,36
5,40,800,0.757493,client10,36
5,40,800,1.18944,client11,36
5,40,800,1.85509,client12,36
5,40,800,0.932213,client13,36
5,40,800,2.65739,client14,36
5,40,800,0.800053,client15,36
5,40,800,1.25253,client16,36
5,40,800,3.91179,client17,36
5,40,800,1.63035,client18,36
5,40,800,2.53456,client19,36
5,40,800,1.53328,client20,36
5,40,800,0.550667,client21,36
5,40,800,0,client22,36
5,40,800,0.81648,client23,36
5,40,800,1.61019,client24,36
5,40,800,0,client25,36
5,40,800,0.690293,client26,36
5,40,800,0.926613,client27,36
5,40,800,0.697387,client28,36
5,40,800,0.539467,client29,36
5,40,800,1.15621,client30,36
5,40,800,1.08453,client31,36
5,40,800,1.58928,client32,36
5,40,800,0.16912,client33,36
5,40,800,3.72325,client34,36
5,40,800,0.532,client35,36
5,40,800,3.93531,client36,36
