mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,40,800,7.58352,client1,32
5,40,800,0,client2,32
5,40,800,1.38544,client3,32
5,40,800,0.03136,client4,32
5,40,800,2.6208,client5,32
5,40,800,6.64944,client6,32
5,40,800,7.98224,client7,32
5,40,800,0,client8,32
5,40,800,7.41216,client9,32
5,40,800,0.14336,client10,32
5,40,800,0.03136,client11,32
5,40,800,0.12992,client12,32
5,40,800,7.17248,client13,32
5,40,800,0.45696,client14,32
5,40,800,7.92848,client15,32
5,40,800,0.72464,client16,32
5,40,800,5.53168,client17,32
5,40,800,0.12992,client18,32
5,40,800,0.15008,client19,32
5,40,800,0.07168,client20,32
5,40,800,0.14336,client21,32
5,40,800,0.07168,client22,32
5,40,800,0.05824,client23,32
5,40,800,0.0672,client24,32
5,40,800,8.4504,client25,32
5,40,800,0.55776,client26,32
5,40,800,0.29568,client27,32
5,40,800,0.03136,client28,32
5,40,800,0.55104,client29,32
5,40,800,0,client30,32
5,40,800,0.3136,client31,32
5,40,800,0,client32,32
