mcs,channel_mhz,gi_ns,tput_mbps,origin,n_clients
5,160,3200,18.5562,client1,32
5,160,3200,0.68992,client2,32
5,160,3200,1.12672,client3,32
5,160,3200,0.9408,client4,32
5,160,3200,0.50512,client5,32
5,160,3200,18.4923,client6,32
5,160,3200,16.5402,client7,32
5,160,3200,1.0976,client8,32
5,160,3200,18.6626,client9,32
5,160,3200,0.7,client10,32
5,160,3200,0.88928,client11,32
5,160,3200,0.8064,client12,32
5,160,3200,17.2682,client13,32
5,160,3200,0.81984,client14,32
5,160,3200,17.5,client15,32
5,160,3200,0.70784,client16,32
5,160,3200,17.313,client17,32
5,160,3200,5.53056,client18,32
5,160,3200,0.80192,client19,32
5,160,3200,6.23728,client20,32
5,160,3200,0.92176,client21,32
5,160,3200,0.8848,client22,32
5,160,3200,0.80416,client23,32
5,160,3200,0.88256,client24,32
5,160,3200,17.836,client25,32
5,160,3200,1.0304,client26,32
5,160,3200,0.9744,client27,32
5,160,3200,0.73584,client28,32
5,160,3200,0.80192,client29,32
5,160,3200,0.92512,client30,32
5,160,3200,0.9408,client31,32
5,160,3200,0.97216,client32,32
5,160,1600,17.0218,client1,32
5,160,1600,2.5536,client2,32
5,160,1600,2.67904,client3,32
5,160,1600,0.63168,client4,32
5,160,1600,2.2064,client5,32
5,160,1600,16.3408,client6,32
5,160,1600,15.3149,client7,32
5,160,1600,2.42144,client8,32
5,160,1600,14.9262,client9,32
5,160,1600,0.6664,client10,32
5,160,1600,0.6664,client11,32
5,160,1600,1.54,client12,32
5,160,1600,16.2075,client13,32
5,160,1600,2.1,client14,32
5,160,1600,16.4024,client15,32
5,160,1600,0,client16,32
5,160,1600,16.679,client17,32
5,160,1600,2.1784,client18,32
5,160,1600,1.81104,client19,32
5,160,1600,0.59136,client20,32
5,160,1600,2.39008,client21,32
5,160,1600,0.58016,client22,32
5,160,1600,0.39312,client23,32
5,160,1600,2.3128,client24,32
5,160,1600,16.4685,client25,32
5,160,1600,2.52672,client26,32
5,160,1600,2.2176,client27,32
5,160,1600,2.4416,client28,32
5,160,1600,2.01152,client29,32
5,160,1600,2.43936,client30,32
5,160,1600,0.6664,client31,32
5,160,1600,2.36768,client32,32
5,160,800,18.3221,client1,32
5,160,800,3.62208,client2,32
5,160,800,1.50976,client3,32
5,160,800,0.83888,client4,32
5,160,800,2.01264,client5,32
5,160,800,18.3646,client6,32
5,160,800,17.9357,client7,32
5,160,800,2.72608,client8,32
5,160,800,16.2366,client9,32
5,160,800,2.38112,client10,32
5,160,800,3.15168,client11,32
5,160,800,0.85344,client12,32
5,160,800,17.9267,client13,32
5,160,800,2.69024,client14,32
5,160,800,17.9133,client15,32
5,160,800,2.36096,client16,32
5,160,800,14.1221,client17,32
5,160,800,2.33968,client18,32
5,160,800,0.93856,client19,32
5,160,800,0.7504,client20,32
5,160,800,0.7336,client21,32
5,160,800,0.83552,client22,32
5,160,800,0.96992,client23,32
5,160,800,2.31616,client24,32
5,160,800,17.9626,client25,32
5,160,800,3.1248,client26,32
5,160,800,2.84704,client27,32
5,160,800,2.10112,client28,32
5,160,800,2.57264,client29,32
5,160,800,0.94528,client30,32
5,160,800,0.82432,client31,32
5,160,800,2.92544,client32,32
