time_milli,total,unsolicited,schedule1,candidates,schedule2
510450,8,0,4,4,4
510889,8,4,4,4,4
514064,8,0,4,4,4
515867,8,0,4,4,4
517888,8,0,4,4,4
519891,8,0,4,4,4
522312,8,0,4,4,4
524401,8,0,4,4,4
524858,8,7,4,1,1
528490,8,0,4,4,4
530102,8,0,4,4,4
533033,8,0,4,4,4
533490,8,4,4,4,4
535876,8,0,4,4,4
536949,8,7,4,1,1
538662,8,0,4,4,4
543494,8,0,4,4,4
549097,8,0,4,4,4
550532,8,0,4,4,4
554693,8,0,4,4,4
555694,8,4,4,4,4
560290,8,0,4,4,4
561734,8,0,4,4,4
565895,8,0,4,4,4
567357,8,0,4,4,4
571491,8,0,4,4,4
572980,8,0,4,4,4
577096,8,0,4,4,4
578196,8,4,4,4,4
582693,8,0,4,4,4
588296,8,0,4,4,4
593890,8,0,4,4,4
595433,8,0,4,4,4
599495,8,0,4,4,4
599934,8,4,4,4,4
602220,8,0,4,4,4
603221,8,6,4,2,2
605521,8,0,4,4,4
606603,8,7,4,1,1
610696,8,0,4,4,4
612149,8,0,4,4,4
614308,8,0,4,4,4
616662,8,0,4,4,4
620296,8,0,4,4,4
621893,8,0,4,4,4
623519,8,5,4,3,2
626543,8,0,4,4,4
627562,8,6,4,2,2
629970,8,0,4,4,4
632104,8,6,4,2,2
635551,8,0,4,4,4
638347,8,0,4,4,4
639955,8,7,4,1,1
644684,8,0,4,4,4
646675,8,6,4,2,2
649265,8,0,4,4,4
650311,8,7,4,1,1
654147,8,0,4,4,4
654703,8,6,4,2,2
657608,8,0,4,4,4
660074,8,7,4,1,1
665737,8,0,4,4,4
668278,8,3,4,4,4
676788,8,0,4,4,4
680571,8,5,4,3,2
686211,8,0,4,4,4
688692,8,5,4,3,2
694690,8,0,4,4,4
695129,8,2,4,4,4
701044,8,0,4,4,4
703023,8,2,4,4,4
712851,8,0,4,4,4
720995,8,3,4,4,4
740258,8,0,4,4,4
761648,8,0,4,4,4
766293,8,0,4,4,4
768240,8,5,4,3,2
772949,8,0,4,4,4
773424,8,5,4,3,2
776483,8,0,4,4,4
778056,8,5,4,3,2
